id,name,createdAt
1,Sage Worth Grove,2026-04-08T21:19:23.875Z
2,Terrace Rata Ltd,2026-04-08T21:19:23.887Z
3,Thistle Ley Holdings,2026-04-08T21:19:23.883Z
4,Gold Burn Farm,2026-04-08T21:19:24.141Z
5,Flint Ash Crossing,2026-04-08T21:19:23.919Z
7,Willow Fen Station,2026-04-08T21:19:23.939Z
8,Larch Park,2026-04-08T21:19:23.921Z
9,Kauri Wood Estate,2026-04-08T21:19:26.477Z
10,Moon Partnership,2026-04-08T21:19:23.912Z
11,Spring Ley Pastures,2026-04-08T21:19:24.387Z
12,Moss Saddle Ltd,2026-04-08T21:19:24.533Z
13,Bench Kea View,2026-04-08T21:19:23.934Z
14,Weka Downs,2026-04-08T21:19:23.882Z
15,Miro Mere Pastoral,2026-04-08T21:19:23.908Z
16,Gorge Crossing,2026-04-08T21:19:23.907Z
17,Cove View Run,2026-04-08T21:19:23.930Z
18,Rata Hope Grange,2026-04-08T21:19:23.915Z
19,Thistle View Ridge,2026-04-08T21:19:24.373Z
20,Elm Bluff Park,2026-04-08T21:19:24.138Z
21,South Range Flats,2026-04-08T21:19:24.340Z
22,Stone Briar Springs,2026-04-08T21:19:23.881Z
23,Alder Rock Holdings,2026-04-08T21:19:24.215Z
24,Hazel Flats,2026-04-08T21:19:23.937Z
26,Copper Downs,2026-04-08T21:19:23.893Z
27,Elm Fen Crossing,2026-04-08T21:19:23.900Z
29,Bluff Kereru Springs,2026-04-08T21:19:23.901Z
30,Bay Granite Park,2026-04-08T21:19:23.911Z
32,Fern Elm Creek,2026-04-08T21:19:23.954Z
33,Gorge Grange,2026-04-08T21:19:23.956Z
34,Basalt Crossing,2026-04-08T21:19:23.982Z
37,Iron Bridge Lodge,2026-04-08T21:19:23.977Z
38,Kowhai Estate,2026-04-08T21:19:24.952Z
39,Flax Hope Ltd,2026-04-08T21:19:23.985Z
40,Basalt Rowan Ridge,2026-04-08T21:19:23.994Z
41,Broad Ltd,2026-04-08T21:19:24.045Z
