id,quantity,date,avgPurchaseWeightKg,transactionTypeName,livestockPurchaseStatusId,livestockPurchaseStatusName,isDemoData,locationId,stockClassId,groupId,createdAt
2,55,2022-09-15T00:00:00.000Z,481.82,ANZCO Grazing,4,Complete,false,1,2,2,2026-04-08T21:19:23.878Z
5,11,2022-09-09T00:00:00.000Z,423,Farm Owned,4,Complete,false,1,2,2,2026-04-08T21:19:23.880Z
11,7,2022-09-14T00:00:00.000Z,321.86,Finance Stock,4,Complete,false,22,2,47,2026-04-08T21:19:23.881Z
12,8,2022-09-14T00:00:00.000Z,406.55,Finance Stock,4,Complete,false,14,2,35,2026-04-08T21:19:23.883Z
15,46,2022-09-23T00:00:00.000Z,407.61,ANZCO Grazing,4,Complete,false,3,2,11,2026-04-08T21:19:23.884Z
17,1,2022-09-26T00:00:00.000Z,345,Finance Stock,4,Complete,false,22,2,47,2026-04-08T21:19:23.885Z
18,177,2022-10-03T00:00:00.000Z,511.41,Farm Owned,4,Complete,false,3,2,11,2026-04-08T21:19:23.886Z
19,17,2022-10-04T00:00:00.000Z,480,Farm Owned,4,Complete,false,2,2,6,2026-04-08T21:19:23.887Z
20,91,2022-10-11T00:00:00.000Z,426.59,ANZCO Grazing,4,Complete,false,2,2,6,2026-04-08T21:19:23.888Z
21,36,2022-10-14T00:00:00.000Z,485.56,Farm Owned,4,Complete,false,2,2,6,2026-04-08T21:19:23.889Z
23,46,2022-10-14T00:00:00.000Z,580.92,Short Term Trading,4,Complete,false,1,2,2,2026-04-08T21:19:23.890Z
25,65,2022-10-18T00:00:00.000Z,371.94,ANZCO Grazing,4,Complete,false,2,2,6,2026-04-08T21:19:23.891Z
26,48,2022-10-20T00:00:00.000Z,365.43,ANZCO Grazing,4,Complete,false,2,2,6,2026-04-08T21:19:23.892Z
27,10,2022-10-14T00:00:00.000Z,1,Farm Owned,4,Complete,false,3,5,12,2026-04-08T21:19:23.892Z
28,60,2022-10-21T00:00:00.000Z,357.67,ANZCO Grazing,4,Complete,false,26,2,51,2026-04-08T21:19:23.894Z
29,60,2022-10-21T00:00:00.000Z,363,ANZCO Grazing,4,Complete,false,2,2,6,2026-04-08T21:19:23.894Z
30,60,2022-10-20T00:00:00.000Z,506.5,Farm Owned,4,Complete,false,2,2,6,2026-04-08T21:19:23.895Z
31,50,2022-10-25T00:00:00.000Z,498.4,ANZCO Grazing,4,Complete,false,2,2,6,2026-04-08T21:19:23.896Z
32,50,2022-10-25T00:00:00.000Z,498,ANZCO Grazing,4,Complete,false,2,2,6,2026-04-08T21:19:23.896Z
