id,name,defaultDailyGainKg,defaultTargetWeightKg,defaultKillOutPct,icon,color,displayOrder,createdAt
1,Lamb,0.14,42,0.45,sheep,#22c55e,1,2026-04-08T21:19:21.642Z
2,Prime,0.8,590,0.53,beef,#1a5c4c,2,2026-04-08T21:19:21.674Z
3,Mutton,0.05,55,0.45,sheep,#84cc16,3,2026-04-08T21:19:21.682Z
5,Bulls,0.65,590,0.53,beef,#ef4444,4,2026-04-08T21:19:21.686Z
7,Cow,0.4,500,0.5,milk,#f59e0b,5,2026-04-08T21:19:21.690Z
8,Calves R1,0.75,300,0.5,baby,#3b82f6,6,2026-04-08T21:19:21.701Z
9,Heifers R2,0.7,450,0.52,beef,#8b5cf6,7,2026-04-08T21:19:21.707Z
13,GFNB 0,0.55,300,0.5,beef,#06b6d4,8,2026-04-08T21:19:21.718Z
14,100kg B24,0.85,590,0.53,beef,#ec4899,9,2026-04-08T21:19:21.724Z
15,Calves R2,0.85,400,0.52,baby,#6366f1,10,2026-04-08T21:19:21.738Z
16,100kg B25,0.85,590,0.53,beef,#f43f5e,11,2026-04-08T21:19:21.884Z
17,Lamb 0,0.12,38,0.45,sheep,#10b981,12,2026-04-08T21:19:21.947Z
18,Calves 2026,0.7,350,0.5,baby,#0ea5e9,13,2026-04-08T21:19:21.967Z
